,,(in $),,,,,
Rank,Release Group,Worldwide,Domestic,Foreign,year,Domestic %,Foreign %
1,Avengers: Endgame,"2,79,75,01,328","85,83,73,000","1,93,91,28,328",2019,30.684,69.316
2,Star Wars: Episode VII - The Force Awakens,"2,06,82,23,624","93,66,62,225","1,13,15,61,399",2015,45.288,54.712
3,Avengers: Infinity War,"2,04,83,59,754","67,88,15,482","1,36,95,44,272",2018,33.139,66.861
4,Jurassic World,"1,67,04,00,637","65,22,70,625","1,01,81,30,012",2015,39.049,60.951
5,The Lion King,"1,65,69,43,394","54,36,38,043","1,11,33,05,351",2019,32.810,67.190
6,The Avengers,"1,51,88,12,988","62,33,57,910","89,54,55,078",2012,41.042,58.958
7,Furious 7,"1,51,50,47,671","35,30,07,020","1,16,20,40,651",2015,23.300,76.700
8,Frozen II,"1,45,00,26,933","47,73,73,578","97,26,53,355",2019,32.922,67.078
9,Avengers: Age of Ultron,"1,40,28,05,868","45,90,05,868","94,38,00,000",2015,32.721,67.279
10,Black Panther,"1,34,69,13,161","70,00,59,566","64,68,53,595",2018,51.975,48.025
11,Harry Potter and the Deathly Hallows: Part 2,"1,34,15,11,219","38,10,11,219","96,05,00,000",2011,28.402,71.598
12,Star Wars: Episode VIII - The Last Jedi,"1,33,25,39,889","62,01,81,382","71,23,58,507",2017,46.541,53.459
13,Jurassic World: Fallen Kingdom,"1,30,84,67,944","41,77,19,760","89,07,48,184",2018,31.924,68.076
14,Frozen,"1,28,08,02,282","40,07,38,009","88,00,64,273",2013,31.288,68.712
15,Beauty and the Beast,"1,26,35,21,126","50,40,14,165","75,95,06,961",2017,39.890,60.110
16,Incredibles 2,"1,24,28,05,359","60,85,81,744","63,42,23,615",2018,48.968,51.032
17,The Fate of the Furious,"1,23,60,05,118","22,60,08,385","1,00,99,96,733",2017,18.285,81.715
18,Iron Man 3,"1,21,48,11,252","40,90,13,994","80,57,97,258",2013,33.669,66.331
19,Minions,"1,15,93,98,397","33,60,45,770","82,33,52,627",2015,28.984,71.016
20,Captain America: Civil War,"1,15,32,96,293","40,80,84,349","74,52,11,944",2016,35.384,64.616
21,Aquaman,"1,14,84,61,807","33,50,61,807","81,34,00,000",2018,29.175,70.825
22,Spider-Man: Far from Home,"1,13,19,27,996","39,05,32,085","74,13,95,911",2019,34.501,65.499
23,Captain Marvel,"1,12,82,74,794","42,68,29,839","70,14,44,955",2019,37.830,62.170
24,Transformers: Dark of the Moon,"1,12,37,94,079","35,23,90,543","77,14,03,536",2011,31.357,68.643
25,Skyfall,"1,10,85,61,013","30,43,60,277","80,42,00,736",2012,27.455,72.545
26,Transformers: Age of Extinction,"1,10,40,54,072","24,54,39,076","85,86,14,996",2014,22.231,77.769
27,The Dark Knight Rises,"1,08,10,41,287","44,81,39,099","63,29,02,188",2012,41.454,58.546
28,Joker,"1,07,42,51,311","33,54,51,311","73,88,00,000",2019,31.227,68.773
29,Star Wars: Episode IX - The Rise of Skywalker,"1,07,41,44,248","51,52,02,542","55,89,41,706",2019,47.964,52.036
30,Toy Story 4,"1,07,33,94,593","43,40,38,008","63,93,56,585",2019,40.436,59.564
31,Rogue One: A Star Wars Story,"1,05,60,57,273","53,21,77,324","52,38,79,949",2016,50.393,49.607
32,Aladdin,"1,05,06,93,953","35,55,59,216","69,51,34,737",2019,33.840,66.160
33,Pirates of the Caribbean: On Stranger Tides,"1,04,57,13,802","24,10,71,802","80,46,42,000",2011,23.053,76.947
34,Despicable Me 3,"1,03,47,99,409","26,46,24,300","77,01,75,109",2017,25.573,74.427
35,Finding Dory,"1,02,85,70,889","48,62,95,561","54,22,75,328",2016,47.279,52.721
36,Zootopia,"1,02,37,84,195","34,12,68,248","68,25,15,947",2016,33.334,66.666
37,The Hobbit: An Unexpected Journey,"1,01,70,03,568","30,30,03,568","71,40,00,000",2012,29.794,70.206
38,Despicable Me 2,"97,07,66,005","36,80,65,385","60,27,00,620",2013,37.915,62.085
39,The Jungle Book,"96,65,50,600","36,40,01,123","60,25,49,477",2016,37.660,62.340
40,Jumanji: Welcome to the Jungle,"96,20,77,546","40,45,15,480","55,75,62,066",2017,42.046,57.954
41,The Hobbit: The Desolation of Smaug,"95,83,66,855","25,83,66,855","70,00,00,000",2013,26.959,73.041
42,The Hobbit: The Battle of the Five Armies,"95,60,19,788","25,51,19,788","70,09,00,000",2014,26.686,73.314
43,Bohemian Rhapsody,"90,36,55,259","21,64,28,042","68,72,27,217",2018,23.950,76.050
44,Spectre,"88,06,74,609","20,00,74,609","68,06,00,000",2015,22.718,77.282
45,Spider-Man: Homecoming,"88,01,66,924","33,42,01,140","54,59,65,784",2017,37.970,62.030
46,Ice Age: Continental Drift,"87,72,44,782","16,13,21,843","71,59,22,939",2012,18.390,81.610
47,The Secret Life of Pets,"87,54,57,937","36,83,84,330","50,70,73,607",2016,42.079,57.921
48,Batman v Superman: Dawn of Justice,"87,36,34,919","33,03,60,194","54,32,74,725",2016,37.814,62.186
49,Wolf Warrior 2,"87,03,25,439","27,21,100","86,76,04,339",2017,0.313,99.687
50,The Hunger Games: Catching Fire,"86,50,11,746","42,46,68,047","44,03,43,699",2013,49.094,50.906
51,Guardians of the Galaxy Vol. 2,"86,37,56,051","38,98,13,101","47,39,42,950",2017,45.130,54.870
52,Inside Out,"85,76,11,174","35,64,61,711","50,11,49,463",2015,41.564,58.436
53,Venom,"85,60,85,151","21,35,15,506","64,25,69,645",2018,24.941,75.059
54,Thor: Ragnarok,"85,39,77,126","31,50,58,289","53,89,18,837",2017,36.893,63.107
55,The Twilight Saga: Breaking Dawn - Part 2,"82,97,46,820","29,23,24,737","53,74,22,083",2012,35.231,64.769
56,Wonder Woman,"82,18,47,012","41,25,63,408","40,92,83,604",2017,50.200,49.800
57,Fantastic Beasts and Where to Find Them,"81,40,37,575","23,40,37,575","58,00,00,000",2016,28.750,71.250
58,Coco,"80,78,16,196","21,04,60,015","59,73,56,181",2017,26.053,73.947
59,Jumanji: The Next Level,"80,00,59,707","32,03,14,960","47,97,44,747",2019,40.036,59.964
60,Pirates of the Caribbean: Dead Men Tell No Tales,"79,48,61,794","17,25,58,876","62,23,02,918",2017,21.709,78.291
61,Mission: Impossible - Fallout,"79,11,15,104","22,01,59,104","57,09,56,000",2018,27.829,72.171
62,Fast & Furious 6,"78,86,79,850","23,86,79,850","55,00,00,000",2013,30.263,69.737
63,Deadpool,"78,26,12,155","36,30,70,709","41,95,41,446",2016,46.392,53.608
64,Guardians of the Galaxy,"77,27,76,600","33,31,76,600","43,96,00,000",2014,43.114,56.886
65,Fast & Furious Presents: Hobbs & Shaw,"75,90,56,935","17,39,56,935","58,51,00,000",2019,22.918,77.082
66,Maleficent,"75,84,10,378","24,14,10,378","51,70,00,000",2014,31.831,68.169
67,The Amazing Spider-Man,"75,79,30,663","26,20,30,663","49,59,00,000",2012,34.572,65.428
68,The Hunger Games: Mockingjay - Part 1,"75,53,56,711","33,71,35,885","41,82,20,826",2014,44.633,55.367
69,Madagascar 3: Europe's Most Wanted,"74,69,21,274","21,63,91,482","53,05,29,792",2012,28.971,71.029
70,Suicide Squad,"74,68,46,894","32,51,00,054","42,17,46,840",2016,43.530,56.470
71,X-Men: Days of Future Past,"74,60,45,700","23,39,21,534","51,21,24,166",2014,31.355,68.645
72,Monsters University,"74,35,59,607","26,84,92,764","47,50,66,843",2013,36.109,63.891
73,Deadpool 2,"73,45,46,611","31,84,91,426","41,60,55,185",2018,43.359,56.641
74,Ne Zha,"72,60,63,471","36,95,533","72,23,67,938",2019,0.509,99.491
75,Gravity,"72,31,92,705","27,40,92,705","44,91,00,000",2013,37.900,62.100
76,Captain America: The Winter Soldier,"71,44,21,503","25,97,66,572","45,46,54,931",2014,36.360,63.640
77,The Twilight Saga: Breaking Dawn - Part 1,"71,22,05,856","28,12,87,133","43,09,18,723",2011,39.495,60.505
78,Dawn of the Planet of the Apes,"71,06,44,566","20,85,45,589","50,20,98,977",2014,29.346,70.654
79,The Amazing Spider-Man 2,"70,89,82,323","20,28,53,933","50,61,28,390",2014,28.612,71.388
80,It,"70,03,81,748","32,74,81,748","37,29,00,000",2017,46.758,53.242
81,The Wandering Earth,"69,98,56,699","59,71,413","69,38,85,286",2019,0.853,99.147
82,Mission: Impossible - Ghost Protocol,"69,47,13,380","20,93,97,903","48,53,15,477",2011,30.142,69.858
83,The Hunger Games,"69,43,94,724","40,80,10,692","28,63,84,032",2012,58.758,41.242
84,Mission: Impossible - Rogue Nation,"68,27,14,267","19,50,42,377","48,76,71,890",2015,28.569,71.431
85,Interstellar,"67,78,96,797","18,80,20,017","48,98,76,780",2014,27.736,72.264
86,Doctor Strange,"67,77,18,395","23,26,41,920","44,50,76,475",2016,34.327,65.673
87,Man of Steel,"66,80,45,518","29,10,45,518","37,70,00,000",2013,43.567,56.433
88,Kung Fu Panda 2,"66,56,92,281","16,52,49,063","50,04,43,218",2011,24.824,75.176
89,The Hunger Games: Mockingjay - Part 2,"65,83,44,137","28,17,23,902","37,66,20,235",2015,42.793,57.207
90,Justice League,"65,79,24,295","22,90,24,295","42,89,00,000",2017,34.810,65.190
91,Big Hero 6,"65,78,27,828","22,25,27,828","43,53,00,000",2014,33.828,66.172
92,Fantastic Beasts: The Crimes of Grindelwald,"65,48,55,901","15,95,55,901","49,53,00,000",2018,24.365,75.635
93,Thor: The Dark World,"64,47,83,140","20,63,62,140","43,84,21,000",2013,32.005,67.995
94,Moana,"64,33,31,111","24,87,57,044","39,45,74,067",2016,38.667,61.333
95,Sing,"63,41,51,679","27,03,95,425","36,37,56,254",2016,42.639,57.361
96,The Martian,"63,01,61,890","22,84,33,663","40,17,28,227",2015,36.250,63.750
97,Fast Five,"62,61,37,675","20,98,37,675","41,63,00,000",2011,33.513,66.487
98,Men in Black 3,"62,40,26,776","17,90,20,854","44,50,05,922",2012,28.688,71.312
99,Ant-Man and the Wasp,"62,26,74,139","21,66,48,740","40,60,25,399",2018,34.793,65.207
100,How to Train Your Dragon 2,"62,15,37,519","17,70,02,924","44,45,34,595",2014,28.478,71.522
101,Logan,"61,90,21,436","22,62,77,068","39,27,44,368",2017,36.554,63.446
102,Life of Pi,"60,90,16,565","12,49,87,023","48,40,29,542",2012,20.523,79.477
103,Transformers: The Last Knight,"60,54,25,157","13,01,68,683","47,52,56,474",2017,21.500,78.500
104,The Croods,"58,72,04,668","18,71,68,425","40,00,36,243",2013,31.874,68.126
105,The Hangover Part II,"58,67,64,305","25,44,64,305","33,23,00,000",2011,43.367,56.633
106,Ready Player One,"58,28,90,172","13,76,90,172","44,52,00,000",2018,23.622,76.378
107,Operation Red Sea,"57,93,30,426","15,43,547","57,77,86,879",2018,0.266,99.734
108,Fifty Shades of Grey,"56,96,51,467","16,61,67,230","40,34,84,237",2015,29.170,70.830
