Rank,Release Group,Worldwide,Domestic,%,Foreign,%.1,filename,year
1,Harry Potter and the Deathly Hallows: Part 2,"$1,341,511,219","$381,011,219",28.4%,"$960,500,000",71.6%,2011.csv,2011
2,Transformers: Dark of the Moon,"$1,123,794,079","$352,390,543",31.4%,"$771,403,536",68.6%,2011.csv,2011
3,Pirates of the Caribbean: On Stranger Tides,"$1,045,713,802","$241,071,802",23.1%,"$804,642,000",76.9%,2011.csv,2011
4,The Twilight Saga: Breaking Dawn - Part 1,"$712,205,856","$281,287,133",39.5%,"$430,918,723",60.5%,2011.csv,2011
5,Mission: Impossible - Ghost Protocol,"$694,713,380","$209,397,903",30.1%,"$485,315,477",69.9%,2011.csv,2011
6,Kung Fu Panda 2,"$665,692,281","$165,249,063",24.8%,"$500,443,218",75.2%,2011.csv,2011
7,Fast Five,"$626,137,675","$209,837,675",33.5%,"$416,300,000",66.5%,2011.csv,2011
8,The Hangover Part II,"$586,764,305","$254,464,305",43.4%,"$332,300,000",56.6%,2011.csv,2011
9,The Smurfs,"$563,749,323","$142,614,158",25.3%,"$421,135,165",74.7%,2011.csv,2011
10,Cars 2,"$559,852,396","$191,452,396",34.2%,"$368,400,000",65.8%,2011.csv,2011
11,Puss in Boots,"$554,987,477","$149,260,504",26.9%,"$405,726,973",73.1%,2011.csv,2011
12,Sherlock Holmes: A Game of Shadows,"$543,848,418","$186,848,418",34.4%,"$357,000,000",65.6%,2011.csv,2011
13,Rio,"$483,866,518","$143,619,809",29.7%,"$340,246,709",70.3%,2011.csv,2011
14,Rise of the Planet of the Apes,"$481,800,873","$176,760,185",36.7%,"$305,040,688",63.3%,2011.csv,2011
15,Thor,"$449,326,618","$181,030,624",40.3%,"$268,295,994",59.7%,2011.csv,2011
16,The Intouchables,"$426,588,510","$10,198,820",2.4%,"$416,389,690",97.6%,2011.csv,2011
17,The Adventures of Tintin,"$373,993,951","$77,591,831",20.7%,"$296,402,120",79.3%,2011.csv,2011
18,Captain America: The First Avenger,"$370,569,774","$176,654,505",47.7%,"$193,915,269",52.3%,2011.csv,2011
19,X-Men: First Class,"$352,616,690","$146,408,305",41.5%,"$206,208,385",58.5%,2011.csv,2011
20,Alvin and the Chipmunks: Chipwrecked,"$342,695,435","$133,110,742",38.8%,"$209,584,693",61.2%,2011.csv,2011
21,Real Steel,"$299,268,508","$85,468,508",28.6%,"$213,800,000",71.4%,2011.csv,2011
22,Bridesmaids,"$288,383,523","$169,106,725",58.6%,"$119,276,798",41.4%,2011.csv,2011
23,Super 8,"$260,095,986","$127,004,179",48.8%,"$133,091,807",51.2%,2011.csv,2011
24,Rango,"$245,724,603","$123,477,607",50.3%,"$122,246,996",49.7%,2011.csv,2011
25,The Girl with the Dragon Tattoo,"$232,617,430","$102,515,793",44.1%,"$130,101,637",55.9%,2011.csv,2011
26,The Green Hornet,"$227,817,248","$98,780,042",43.4%,"$129,037,206",56.6%,2011.csv,2011
27,Immortals,"$226,904,017","$83,504,017",36.8%,"$143,400,000",63.2%,2011.csv,2011
28,Green Lantern,"$219,851,172","$116,601,172",53%,"$103,250,000",47%,2011.csv,2011
29,The Help,"$216,639,112","$169,708,112",78.3%,"$46,931,000",21.7%,2011.csv,2011
30,Bad Teacher,"$216,197,492","$100,292,856",46.4%,"$115,904,636",53.6%,2011.csv,2011
31,Just Go with It,"$214,945,591","$103,028,109",47.9%,"$111,917,482",52.1%,2011.csv,2011
32,Battle Los Angeles,"$211,819,354","$83,552,429",39.4%,"$128,266,925",60.6%,2011.csv,2011
