Rank,Release Group,Worldwide,Domestic,Foreign,filename,year,Domestic %,Foreign %
1,Avengers: Endgame,2797501328,858373000,1939128328,2019.csv,2019,30.683560054417246,69.31643994558276
2,Star Wars: Episode VII - The Force Awakens,2068223624,936662225,1131561399,2015.csv,2015,45.28824707980417,54.711752920195835
3,Avengers: Infinity War,2048359754,678815482,1369544272,2018.csv,2018,33.13946589091205,66.86053410908795
4,Jurassic World,1670400637,652270625,1018130012,2015.csv,2015,39.04875336802209,60.95124663197791
5,The Lion King,1656943394,543638043,1113305351,2019.csv,2019,32.809693135479556,67.19030686452044
6,The Avengers,1518812988,623357910,895455078,2012.csv,2012,41.04244004529147,58.95755995470853
7,Furious 7,1515047671,353007020,1162040651,2015.csv,2015,23.30006023949064,76.69993976050937
8,Frozen II,1450026933,477373578,972653355,2019.csv,2019,32.9217042205105,67.0782957794895
9,Avengers: Age of Ultron,1402805868,459005868,943800000,2015.csv,2015,32.72055517235689,67.2794448276431
10,Black Panther,1346913161,700059566,646853595,2018.csv,2018,51.97510769589992,48.02489230410007
11,Harry Potter and the Deathly Hallows: Part 2,1341511219,381011219,960500000,2011.csv,2011,28.40164238686102,71.59835761313897
12,Star Wars: Episode VIII - The Last Jedi,1332539889,620181382,712358507,2017.csv,2017,46.5412995978239,53.458700402176106
13,Jurassic World: Fallen Kingdom,1308467944,417719760,890748184,2018.csv,2018,31.924340364275672,68.07565963572432
14,Frozen,1280802282,400738009,880064273,2013.csv,2013,31.288046143565506,68.71195385643449
15,Beauty and the Beast,1263521126,504014165,759506961,2017.csv,2017,39.88965080430321,60.11034919569679
16,Incredibles 2,1242805359,608581744,634223615,2018.csv,2018,48.9683874946986,51.0316125053014
17,The Fate of the Furious,1236005118,226008385,1009996733,2017.csv,2017,18.28539232634472,81.71460767365528
18,Iron Man 3,1214811252,409013994,805797258,2013.csv,2013,33.668933616363965,66.33106638363603
19,Minions,1159398397,336045770,823352627,2015.csv,2015,28.984494964762312,71.01550503523768
20,Captain America: Civil War,1153296293,408084349,745211944,2016.csv,2016,35.384172434862755,64.61582756513724
21,Aquaman,1148461807,335061807,813400000,2018.csv,2018,29.174832367760228,70.82516763223977
22,Spider-Man: Far from Home,1131927996,390532085,741395911,2019.csv,2019,34.5014953583673,65.4985046416327
23,Captain Marvel,1128274794,426829839,701444955,2019.csv,2019,37.83030882811692,62.16969117188308
24,Transformers: Dark of the Moon,1123794079,352390543,771403536,2011.csv,2011,31.357216556397248,68.64278344360275
25,Skyfall,1108561013,304360277,804200736,2012.csv,2012,27.45543758356943,72.54456241643057
26,Transformers: Age of Extinction,1104054072,245439076,858614996,2014.csv,2014,22.230711540729683,77.76928845927031
27,The Dark Knight Rises,1081041287,448139099,632902188,2012.csv,2012,41.45439257399981,58.54560742600019
28,Joker,1074251311,335451311,738800000,2019.csv,2019,31.22652097931673,68.77347902068327
29,Star Wars: Episode IX - The Rise of Skywalker,1074144248,515202542,558941706,2019.csv,2019,47.963999524205434,52.03600047579457
30,Toy Story 4,1073394593,434038008,639356585,2019.csv,2019,40.436015872496576,59.563984127503424
31,Rogue One: A Star Wars Story,1056057273,532177324,523879949,2016.csv,2016,50.392846828109484,49.607153171890516
32,Aladdin,1050693953,355559216,695134737,2019.csv,2019,33.84041708670612,66.15958291329387
33,Pirates of the Caribbean: On Stranger Tides,1045713802,241071802,804642000,2011.csv,2011,23.053325062644625,76.94667493735537
34,Despicable Me 3,1034799409,264624300,770175109,2017.csv,2017,25.57252136969475,74.42747863030525
35,Finding Dory,1028570889,486295561,542275328,2016.csv,2016,47.278759898871684,52.721240101128316
36,Zootopia,1023784195,341268248,682515947,2016.csv,2016,33.33400238709487,66.66599761290513
37,The Hobbit: An Unexpected Journey,1017003568,303003568,714000000,2012.csv,2012,29.793756633113404,70.20624336688658
38,Despicable Me 2,970766005,368065385,602700620,2013.csv,2013,37.914943776796136,62.085056223203864
39,The Jungle Book,966550600,364001123,602549477,2016.csv,2016,37.65981036067848,62.34018963932152
40,Jumanji: Welcome to the Jungle,962077546,404515480,557562066,2017.csv,2017,42.04603690023133,57.95396309976868
41,The Hobbit: The Desolation of Smaug,958366855,258366855,700000000,2013.csv,2013,26.95907664711547,73.04092335288452
42,The Hobbit: The Battle of the Five Armies,956019788,255119788,700900000,2014.csv,2014,26.685617934092388,73.31438206590761
43,Bohemian Rhapsody,903655259,216428042,687227217,2018.csv,2018,23.950288546929155,76.04971145307084
